rep, RING, TREE, NETA, NETB, TORUS, GRAPH, SAME, GOODBAD, RAND
1, 0.0001804474277952416, 0.00018045174982180592, 0.0001804453802353091, 0.00018045189387989863, 0.0001804457236193673, 0.0001804474277952416, 0.00018044579066178943, 0.00018044889967452495, 0.00018044889967452495
2, 0.00018044691300296515, 0.00018044889967452495, 0.0001804400639728666, 0.00018045189387989863, 0.0001804507228935538, 0.00018045189387989863, 0.00018044889967452495, 0.0001804440321415398, 0.00018045041442986537
3, 0.00018044553216289448, 0.00018045174982180592, 0.00018044826563327814, 0.00018045174982180592, 0.00018044582927876818, 0.00018044579066178943, 0.00018044257831451724, 0.00018045189387989863, 0.00018044582927876818
4, 0.0001804396922844642, 0.0001804507228935538, 0.00018045174982180592, 0.00018045189387989863, 0.00018043446614821572, 0.00018044579066178943, 0.00018045041442986537, 0.00018045174982180592, 0.00018044691300296515
5, 0.0001804440321415398, 0.0001804474277952416, 0.00018044826563327814, 0.00018045189387989863, 0.00018044257831451724, 0.00018045174982180592, 0.00018044691300296515, 0.00018045174982180592, 0.00018044684442933902
6, 0.00018044553216289448, 0.0001804507228935538, 0.00018045174982180592, 0.00018045002423604426, 0.00018044691300296515, 0.0001804488942041418, 0.00018044889967452495, 0.00018045041442986537, 0.00018044257831451724
7, 0.00018044691300296515, 0.00018045041442986537, 0.00018045174982180592, 0.00018045174982180592, 0.00018045174982180592, 0.00018045189387989863, 0.00018044684442933902, 0.00018044553216289448, 0.00018044579066178943
8, 0.00018045041442986537, 0.00018044579066178943, 0.00018045174982180592, 0.00018045174982180592, 0.00018043880868413314, 0.00018044889967452495, 0.00018044212671504861, 0.0001804507228935538, 0.00018044691300296515
9, 0.00018044257831451724, 0.00018044684442933902, 0.00018045174982180592, 0.00018044684442933902, 0.00018044826563327814, 0.00018045189387989863, 0.00018044579066178943, 0.00018044691300296515, 0.00018045002423604426
10, 0.00018044826563327814, 0.00018045041442986537, 0.00018045189387989863, 0.00018045174982180592, 0.0001804507228935538, 0.0001804507228935538, 0.00018043616558600643, 0.0001804359275280021, 0.00018045002423604426
11, 0.00018044691300296515, 0.00018045174982180592, 0.00018045174982180592, 0.0001804507228935538, 0.0001804474277952416, 0.00018044889967452495, 0.0001804507228935538, 0.00018044433498306135, 0.00018044579066178943
12, 0.00018044691300296515, 0.00018045174982180592, 0.00018045174982180592, 0.00018044582927876818, 0.00018043446614821572, 0.00018045074796665408, 0.00018044433498306135, 0.00018044257831451724, 0.00018044444366893434
13, 0.00018044691300296515, 0.00018045189387989863, 0.00018044257831451724, 0.00018045174982180592, 0.00018045174982180592, 0.00018045174982180592, 0.00018044212671504861, 0.0001804440321415398, 0.00018044826563327814
14, 0.00018044889967452495, 0.00018044889967452495, 0.00018045174982180592, 0.00018045189387989863, 0.00018045189387989863, 0.00018044183618833737, 0.00018044691300296515, 0.00018044889967452495, 0.00018044889967452495
15, 0.0001804474277952416, 0.00018044582927876818, 0.00018044385371264918, 0.00018045189387989863, 0.00018045189387989863, 0.0001804457236193673, 0.00018044889967452495, 0.00018045174982180592, 0.0001804507228935538
16, 0.00018044582927876818, 0.00018045174982180592, 0.00018045174982180592, 0.00018045174982180592, 0.00018045002423604426, 0.00018044582927876818, 0.00018044684442933902, 0.00018044579066178943, 0.00018044826563327814
