5.006000,3.418000,1.464000,0.244000,6.853846,3.076923,5.715385,2.053846,5.883607,2.740984,4.388525,1.434426
5.789130,2.713043,4.208696,1.332609,5.006000,3.418000,1.464000,0.244000,6.664815,3.007407,5.500000,1.968519
6.888235,3.100000,5.805882,2.123529,5.036842,3.298246,1.703509,0.343860,6.020339,2.791525,4.564407,1.491525
6.254255,2.868085,4.906383,1.684043,5.005660,3.360377,1.562264,0.288679,7.766667,3.466667,6.600000,2.066667
6.755319,3.036170,5.585106,2.004255,5.006000,3.418000,1.464000,0.244000,5.824528,2.726415,4.303774,1.384906
4.780000,2.480000,2.460000,0.720000,6.301031,2.886598,4.958763,1.695876,5.029167,3.452083,1.468750,0.243750
6.874286,3.088571,5.791429,2.117143,5.932308,2.755385,4.429231,1.438462,5.006000,3.418000,1.464000,0.244000
6.387500,2.928409,5.080682,1.750000,5.341667,2.458333,3.625000,1.133333,5.006000,3.418000,1.464000,0.244000
6.262000,2.872000,4.906000,1.676000,5.137838,3.564865,1.483784,0.259459,4.630769,3.000000,1.407692,0.200000
6.020635,2.796825,4.553968,1.496825,5.018182,3.321818,1.632727,0.314545,6.912500,3.100000,5.846875,2.131250
5.006000,3.418000,1.464000,0.244000,5.932308,2.755385,4.429231,1.438462,6.874286,3.088571,5.791429,2.117143
6.912500,3.100000,5.846875,2.131250,6.036066,2.801639,4.583607,1.508197,5.036842,3.298246,1.703509,0.343860
6.273737,2.875758,4.925253,1.681818,5.370588,3.800000,1.517647,0.276471,4.826471,3.200000,1.482353,0.252941
5.006000,3.418000,1.464000,0.244000,5.829630,2.731481,4.314815,1.392593,6.769565,3.036957,5.600000,2.008696
6.432727,2.958182,5.200000,1.872727,7.577778,3.144444,6.433333,2.122222,5.284884,3.105814,2.556977,0.670930
5.939394,2.754545,4.442424,1.445455,6.888235,3.100000,5.805882,2.123529,5.006000,3.418000,1.464000,0.244000
6.870270,3.086486,5.745946,2.089189,5.934426,2.755738,4.454098,1.445902,5.005769,3.380769,1.528846,0.275000
5.073333,3.477778,1.484444,0.248889,4.400000,2.880000,1.280000,0.200000,6.262000,2.872000,4.906000,1.676000
5.047458,3.272881,1.776271,0.374576,6.063333,2.811667,4.625000,1.521667,6.932258,3.106452,5.854839,2.141935
6.653704,2.977778,5.509259,1.970370,5.802174,2.747826,4.197826,1.330435,5.006000,3.418000,1.464000,0.244000
6.065333,2.808000,4.646667,1.560000,7.104545,3.154545,6.022727,2.159091,5.005660,3.360377,1.562264,0.288679
